Vernier Format 2
Introduction to Data Analysis on Excel.cmbl 4/2/2012 00:50:14 .
Latest
Time	GateState	Distance	Velocity	Acceleration	Time'	Distance'	Velocity'	Acceleration'
t	State	d	v	acc	t'	d'	v'	a'
s		m	m/s	m/s²	s	m	m/s	m/s²

0	1	0	 	 	0	0	 	 
0.019656	0	 	 	 	0.036956	0.05	1.5355663148	9.88234861548
0.036956	1	0.05	1.5355663148	9.88234861548	0.0666752	0.1	1.82687261162	9.72156379249
0.0523676	0	 	 	 	0.0922976	0.15	2.07614622977	9.73591233352
0.0666752	1	0.1	1.82687261162	9.72156379249	0.1151556	0.2	2.30050606188	9.89483682323
0.0798628	0	 	 	 	0.1359592	0.25	2.50461406935	9.72753694612
0.0922976	1	0.15	2.07614622977	9.73591233352	0.1552032	0.3	2.69297129037	9.8481459698
0.1039908	0	 	 	 	0.1731792	0.35	 	 
0.1151556	1	0.2	2.30050606188	9.89483682323	 	 	 	 
0.125762	0	 	 	 	 	 	 	 
0.1359592	1	0.25	2.50461406935	9.72753694612	 	 	 	 
0.1457556	0	 	 	 	 	 	 	 
0.1552032	1	0.3	2.69297129037	9.8481459698	 	 	 	 
0.1643564	0	 	 	 	 	 	 	 
0.1731792	1	0.35	 	 	 	 	 	 
0.1817556	0	 	 	 	 	 	 	 
